,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound,text_len,text_word_count,punct,tokenized,nonstop,stemmed
10,"I need some people to work from 🏡 
All from your cell phone 📱 
Weekly direct deposit 💵 or check!
Full training prov… https://t.co/ATljllh32o",i need some people to work from    all from your cell phone    weekly direct deposit   or check  full training prov   ,0.22499999999999998,0.47500000000000003,neutral,0.0,1.0,0.0,0.0,118,20,i need some people to work from    all from your cell phone    weekly direct deposit   or check  full training prov   ,"['i', 'need', 'some', 'people', 'to', 'work', 'from', 'all', 'from', 'your', 'cell', 'phone', 'weekly', 'direct', 'deposit', 'or', 'check', 'full', 'training', 'prov', '']","['need', 'people', 'work', 'cell', 'phone', 'weekly', 'direct', 'deposit', 'check', 'full', 'training', 'prov', '']","['need', 'peopl', 'work', 'cell', 'phone', 'weekli', 'direct', 'deposit', 'check', 'full', 'train', 'prov', '']"
11,How to Know if Your Remote Team is Overworked and Unfocused (And How to Help Them): https://t.co/M7uJYB0sgH… https://t.co/jbjG51qjLJ,how to know if your remote team is overworked and unfocused  and how to help them      ,-0.25,0.5,neutral,0.139,0.722,0.139,0.0,87,16,how to know if your remote team is overworked and unfocused  and how to help them      ,"['how', 'to', 'know', 'if', 'your', 'remote', 'team', 'is', 'overworked', 'and', 'unfocused', 'and', 'how', 'to', 'help', 'them', '']","['know', 'remote', 'team', 'overworked', 'unfocused', 'help', '']","['know', 'remot', 'team', 'overwork', 'unfocus', 'help', '']"
12,"@Sarah__Tully, thanks for sharing our tool! 💙

#easyretro #retrospective #retrospectives #agile #wfh #meetings… https://t.co/y8KhwFXTms",   tully  thanks for sharing our tool      easyretro  retrospective  retrospectives  agile  wfh  meetings   ,0.35,0.475,positive,0.0,0.637,0.363,0.6908,108,12,   tully  thanks for sharing our tool      easyretro  retrospective  retrospectives  agile  wfh  meetings   ,"['', 'tully', 'thanks', 'for', 'sharing', 'our', 'tool', 'easyretro', 'retrospective', 'retrospectives', 'agile', 'wfh', 'meetings', '']","['', 'tully', 'thanks', 'sharing', 'tool', 'easyretro', 'retrospective', 'retrospectives', 'agile', 'wfh', 'meetings', '']","['', 'tulli', 'thank', 'share', 'tool', 'easyretro', 'retrospect', 'retrospect', 'agil', 'wfh', 'meet', '']"
13,"RT @TechjobApp: 📣 #JobAlert

🧑‍💻 Junior in #javascript and #react
🏙️ Localyzeapp
🪙 $511 / m
🏠 #WorkFromHome – Remote

Apply now! https://t.…",    jobalert      junior in  javascript and  react    localyzeapp    511   m    workfromhome   remote  apply now   ,-0.1,0.2,neutral,0.0,1.0,0.0,0.0,115,13,    jobalert      junior in  javascript and  react    localyzeapp       m    workfromhome   remote  apply now   ,"['', 'jobalert', 'junior', 'in', 'javascript', 'and', 'react', 'localyzeapp', 'm', 'workfromhome', 'remote', 'apply', 'now', '']","['', 'jobalert', 'junior', 'javascript', 'react', 'localyzeapp', 'workfromhome', 'remote', 'apply', '']","['', 'jobalert', 'junior', 'javascript', 'react', 'localyzeapp', 'workfromhom', 'remot', 'appli', '']"
14,"📣 #JobAlert

🧑‍💻 Junior in #javascript and #react
🏙️ Localyzeapp
🪙 $511 / m
🏠 #WorkFromHome – Remote

Apply now!… https://t.co/sWGJYuMMYv",   jobalert      junior in  javascript and  react    localyzeapp    511   m    workfromhome   remote  apply now    ,-0.1,0.2,neutral,0.0,1.0,0.0,0.0,115,13,   jobalert      junior in  javascript and  react    localyzeapp       m    workfromhome   remote  apply now    ,"['', 'jobalert', 'junior', 'in', 'javascript', 'and', 'react', 'localyzeapp', 'm', 'workfromhome', 'remote', 'apply', 'now', '']","['', 'jobalert', 'junior', 'javascript', 'react', 'localyzeapp', 'workfromhome', 'remote', 'apply', '']","['', 'jobalert', 'junior', 'javascript', 'react', 'localyzeapp', 'workfromhom', 'remot', 'appli', '']"
15,Boundaries are key when you #WorkFromHome. https://t.co/ENEslwMrEr,boundaries are key when you  workfromhome   ,0.0,1.0,neutral,0.0,1.0,0.0,0.0,44,6,boundaries are key when you  workfromhome   ,"['boundaries', 'are', 'key', 'when', 'you', 'workfromhome', '']","['boundaries', 'key', 'workfromhome', '']","['boundari', 'key', 'workfromhom', '']"
16,Smile: Customer Support Representative https://t.co/z7kbvxvfED #remotejobs #jobs #nomad #workfromhome #digitalnomad #newjobs,smile  customer support representative    remotejobs  jobs  nomad  workfromhome  digitalnomad  newjobs,0.3,0.1,positive,0.0,0.606,0.394,0.6369,102,10,smile  customer support representative    remotejobs  jobs  nomad  workfromhome  digitalnomad  newjobs,"['smile', 'customer', 'support', 'representative', 'remotejobs', 'jobs', 'nomad', 'workfromhome', 'digitalnomad', 'newjobs']","['smile', 'customer', 'support', 'representative', 'remotejobs', 'jobs', 'nomad', 'workfromhome', 'digitalnomad', 'newjobs']","['smile', 'custom', 'support', 'repres', 'remotejob', 'job', 'nomad', 'workfromhom', 'digitalnomad', 'newjob']"
17,Calling all students of HR 📣! Want to more about remote compensation? Check out this webinar featuring @Compa_as CE… https://t.co/PIi27rFIdS,calling all students of hr    want to more about remote compensation  check out this webinar featuring   as ce   ,0.2,0.35,positive,0.0,0.929,0.071,0.0772,113,18,calling all students of hr    want to more about remote compensation  check out this webinar featuring   as ce   ,"['calling', 'all', 'students', 'of', 'hr', 'want', 'to', 'more', 'about', 'remote', 'compensation', 'check', 'out', 'this', 'webinar', 'featuring', 'as', 'ce', '']","['calling', 'students', 'hr', 'want', 'remote', 'compensation', 'check', 'webinar', 'featuring', 'ce', '']","['call', 'student', 'hr', 'want', 'remot', 'compens', 'check', 'webinar', 'featur', 'ce', '']"
18,"Check out these Work From Home Tips! Our fave is ""Checking in more than you think you should"".… https://t.co/61DnZzdtJs",check out these work from home tips  our fave is  checking in more than you think you should     ,0.5,0.5,positive,0.0,0.854,0.146,0.4404,97,18,check out these work from home tips  our fave is  checking in more than you think you should     ,"['check', 'out', 'these', 'work', 'from', 'home', 'tips', 'our', 'fave', 'is', 'checking', 'in', 'more', 'than', 'you', 'think', 'you', 'should', '']","['check', 'work', 'home', 'tips', 'fave', 'checking', 'think', '']","['check', 'work', 'home', 'tip', 'fave', 'check', 'think', '']"
19,"RT @notesbythalia: When getting back into the swing of things after an unproductive rut, it’s important to remember that you still won’t be…", when getting back into the swing of things after an unproductive rut  it s important to remember that you still won t be ,0.2,0.5,positive,0.0,0.776,0.224,0.6705,122,23, when getting back into the swing of things after an unproductive rut  it s important to remember that you still won t be ,"['', 'when', 'getting', 'back', 'into', 'the', 'swing', 'of', 'things', 'after', 'an', 'unproductive', 'rut', 'it', 's', 'important', 'to', 'remember', 'that', 'you', 'still', 'won', 't', 'be', '']","['', 'getting', 'back', 'swing', 'things', 'unproductive', 'rut', 'important', 'remember', 'still', '']","['', 'get', 'back', 'swing', 'thing', 'unproduct', 'rut', 'import', 'rememb', 'still', '']"
20,"Read all about digital nomads &amp; workationers in this https://t.co/d7YSuocdpO blog:
https://t.co/rkzbQ9nTlE… https://t.co/UCulRfEGwB",read all about digital nomads  amp  workationers in this   blog     ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,68,10,read all about digital nomads  amp  workationers in this   blog     ,"['read', 'all', 'about', 'digital', 'nomads', 'amp', 'workationers', 'in', 'this', 'blog', '']","['read', 'digital', 'nomads', 'amp', 'workationers', 'blog', '']","['read', 'digit', 'nomad', 'amp', 'workation', 'blog', '']"
21,"RT @PLRsocial: 💡How To Get 1000 #Blog #Subscribers In 
30-Days At No Cost! 

👉 https://t.co/Qsior4d4kQ 👈

#Blog4Profit #AffiliateMarketing…",  how to get 1000  blog  subscribers in  30 days at no cost            blog4profit  affiliatemarketing ,0.0,0.0,negative,0.145,0.855,0.0,-0.296,103,14,  how to get   blog  subscribers in   days at no cost            blogprofit  affiliatemarketing ,"['', 'how', 'to', 'get', 'blog', 'subscribers', 'in', 'days', 'at', 'no', 'cost', 'blogprofit', 'affiliatemarketing', '']","['', 'get', 'blog', 'subscribers', 'days', 'cost', 'blogprofit', 'affiliatemarketing', '']","['', 'get', 'blog', 'subscrib', 'day', 'cost', 'blogprofit', 'affiliatemarket', '']"
22,"""While working from home brings convenience and freedom, it can also be a literal pain in the neck.""

Are you worki… https://t.co/7s7HNW436f", while working from home brings convenience and freedom  it can also be a literal pain in the neck    are you worki   ,0.0,0.0,positive,0.129,0.706,0.165,0.2263,118,21, while working from home brings convenience and freedom  it can also be a literal pain in the neck    are you worki   ,"['', 'while', 'working', 'from', 'home', 'brings', 'convenience', 'and', 'freedom', 'it', 'can', 'also', 'be', 'a', 'literal', 'pain', 'in', 'the', 'neck', 'are', 'you', 'worki', '']","['', 'working', 'home', 'brings', 'convenience', 'freedom', 'also', 'literal', 'pain', 'neck', 'worki', '']","['', 'work', 'home', 'bring', 'conveni', 'freedom', 'also', 'liter', 'pain', 'neck', 'worki', '']"
23,The pandemic has tested our capacity as individuals and businesses to stay flexible and innovative. Experian is com… https://t.co/BXb0vEyVHg,the pandemic has tested our capacity as individuals and businesses to stay flexible and innovative  experian is com   ,0.5,1.0,positive,0.0,0.769,0.231,0.5859,118,18,the pandemic has tested our capacity as individuals and businesses to stay flexible and innovative  experian is com   ,"['the', 'pandemic', 'has', 'tested', 'our', 'capacity', 'as', 'individuals', 'and', 'businesses', 'to', 'stay', 'flexible', 'and', 'innovative', 'experian', 'is', 'com', '']","['pandemic', 'tested', 'capacity', 'individuals', 'businesses', 'stay', 'flexible', 'innovative', 'experian', 'com', '']","['pandem', 'test', 'capac', 'individu', 'busi', 'stay', 'flexibl', 'innov', 'experian', 'com', '']"
24,Want to #workfromhome as #remote Site Reliability Engineer - Databases at InfraCloud? https://t.co/0wmzgrswSv… https://t.co/EOSIJC38ev,want to  workfromhome as  remote site reliability engineer   databases at infracloud     ,-0.1,0.2,positive,0.0,0.885,0.115,0.0772,89,11,want to  workfromhome as  remote site reliability engineer   databases at infracloud     ,"['want', 'to', 'workfromhome', 'as', 'remote', 'site', 'reliability', 'engineer', 'databases', 'at', 'infracloud', '']","['want', 'workfromhome', 'remote', 'site', 'reliability', 'engineer', 'databases', 'infracloud', '']","['want', 'workfromhom', 'remot', 'site', 'reliabl', 'engin', 'databas', 'infracloud', '']"
25,"💡How To Get 1000 #Blog #Subscribers In 
30-Days At No Cost! 

👉 https://t.co/Qsior4d4kQ 👈

#Blog4Profit… https://t.co/GdJ71l8Phj", how to get 1000  blog  subscribers in  30 days at no cost            blog4profit   ,0.0,0.0,negative,0.155,0.845,0.0,-0.296,84,13, how to get   blog  subscribers in   days at no cost            blogprofit   ,"['', 'how', 'to', 'get', 'blog', 'subscribers', 'in', 'days', 'at', 'no', 'cost', 'blogprofit', '']","['', 'get', 'blog', 'subscribers', 'days', 'cost', 'blogprofit', '']","['', 'get', 'blog', 'subscrib', 'day', 'cost', 'blogprofit', '']"
26,RT @RantAndRave_sb: Hot take: if we are being forced back into the office despite proving we can work efficiently and effectively from home…, hot take  if we are being forced back into the office despite proving we can work efficiently and effectively from home ,0.13749999999999998,0.4625,positive,0.113,0.677,0.211,0.3818,121,21, hot take  if we are being forced back into the office despite proving we can work efficiently and effectively from home ,"['', 'hot', 'take', 'if', 'we', 'are', 'being', 'forced', 'back', 'into', 'the', 'office', 'despite', 'proving', 'we', 'can', 'work', 'efficiently', 'and', 'effectively', 'from', 'home', '']","['', 'hot', 'take', 'forced', 'back', 'office', 'despite', 'proving', 'work', 'efficiently', 'effectively', 'home', '']","['', 'hot', 'take', 'forc', 'back', 'offic', 'despit', 'prove', 'work', 'effici', 'effect', 'home', '']"
27,"The 5 Biggest Mistakes Freelancers Make 
#budgeting #CareerandIncome #Entrepreneurship #extraincome #freelance… https://t.co/e9j7Bod2CR",the 5 biggest mistakes freelancers make   budgeting  careerandincome  entrepreneurship  extraincome  freelance   ,0.0,0.0,positive,0.191,0.534,0.275,0.0258,113,11,the  biggest mistakes freelancers make   budgeting  careerandincome  entrepreneurship  extraincome  freelance   ,"['the', 'biggest', 'mistakes', 'freelancers', 'make', 'budgeting', 'careerandincome', 'entrepreneurship', 'extraincome', 'freelance', '']","['biggest', 'mistakes', 'freelancers', 'make', 'budgeting', 'careerandincome', 'entrepreneurship', 'extraincome', 'freelance', '']","['biggest', 'mistak', 'freelanc', 'make', 'budget', 'careerandincom', 'entrepreneurship', 'extraincom', 'freelanc', '']"
28,"RT @Khulood_Almani: If you could change one thing about your current job what would it be❓

#futureofwork #WorkFromHome #RemoteWork #Employ…", if you could change one thing about your current job what would it be    futureofwork  workfromhome  remotework  employ ,0.0,0.4,neutral,0.0,1.0,0.0,0.0,121,18, if you could change one thing about your current job what would it be    futureofwork  workfromhome  remotework  employ ,"['', 'if', 'you', 'could', 'change', 'one', 'thing', 'about', 'your', 'current', 'job', 'what', 'would', 'it', 'be', 'futureofwork', 'workfromhome', 'remotework', 'employ', '']","['', 'could', 'change', 'one', 'thing', 'current', 'job', 'would', 'futureofwork', 'workfromhome', 'remotework', 'employ', '']","['', 'could', 'chang', 'one', 'thing', 'current', 'job', 'would', 'futureofwork', 'workfromhom', 'remotework', 'employ', '']"
30,"RT @Poorvika_Mobile: It's time to show what you got! Up your productivity 10x more with #HPLaptops. Order Now from #Poorvika with upto ₹2,5…", it s time to show what you got  up your productivity 10x more with  hplaptops  order now from  poorvika with upto  2 5 ,0.5,0.5,neutral,0.0,1.0,0.0,0.0,120,23, it s time to show what you got  up your productivity x more with  hplaptops  order now from  poorvika with upto    ,"['', 'it', 's', 'time', 'to', 'show', 'what', 'you', 'got', 'up', 'your', 'productivity', 'x', 'more', 'with', 'hplaptops', 'order', 'now', 'from', 'poorvika', 'with', 'upto', '']","['', 'time', 'show', 'got', 'productivity', 'x', 'hplaptops', 'order', 'poorvika', 'upto', '']","['', 'time', 'show', 'got', 'product', 'x', 'hplaptop', 'order', 'poorvika', 'upto', '']"
31,"RT @mymoneytips: Top ways to earn money with the best CB Mall -&gt; https://t.co/6FxZ1IaVwI 

#affiliatemarketing #makemoney #money #earnmoney…", top ways to earn money with the best cb mall   gt       affiliatemarketing  makemoney  money  earnmoney ,0.75,0.4,positive,0.0,0.597,0.403,0.7964,105,15, top ways to earn money with the best cb mall   gt       affiliatemarketing  makemoney  money  earnmoney ,"['', 'top', 'ways', 'to', 'earn', 'money', 'with', 'the', 'best', 'cb', 'mall', 'gt', 'affiliatemarketing', 'makemoney', 'money', 'earnmoney', '']","['', 'top', 'ways', 'earn', 'money', 'best', 'cb', 'mall', 'gt', 'affiliatemarketing', 'makemoney', 'money', 'earnmoney', '']","['', 'top', 'way', 'earn', 'money', 'best', 'cb', 'mall', 'gt', 'affiliatemarket', 'makemoney', 'money', 'earnmoney', '']"
32,"RT @shashi_dream: A warm welcome to the family! 
Your remarkable skills will be a great addition to our team. 
#shashidreamfoundation wishe…", a warm welcome to the family   your remarkable skills will be a great addition to our team    shashidreamfoundation wishe ,0.7375,0.75,positive,0.0,0.508,0.492,0.9118,123,19, a warm welcome to the family   your remarkable skills will be a great addition to our team    shashidreamfoundation wishe ,"['', 'a', 'warm', 'welcome', 'to', 'the', 'family', 'your', 'remarkable', 'skills', 'will', 'be', 'a', 'great', 'addition', 'to', 'our', 'team', 'shashidreamfoundation', 'wishe', '']","['', 'warm', 'welcome', 'family', 'remarkable', 'skills', 'great', 'addition', 'team', 'shashidreamfoundation', 'wishe', '']","['', 'warm', 'welcom', 'famili', 'remark', 'skill', 'great', 'addit', 'team', 'shashidreamfound', 'wish', '']"
33,"RT @Poorvika_Mobile: Get back to college fully prepared in style, with #HP Back to College Offers on #HPLaptops and PCs from #Poorvika! Sta…", get back to college fully prepared in style  with  hp back to college offers on  hplaptops and pcs from  poorvika  sta ,0.03333333333333333,0.0,positive,0.0,0.901,0.099,0.2944,120,21, get back to college fully prepared in style  with  hp back to college offers on  hplaptops and pcs from  poorvika  sta ,"['', 'get', 'back', 'to', 'college', 'fully', 'prepared', 'in', 'style', 'with', 'hp', 'back', 'to', 'college', 'offers', 'on', 'hplaptops', 'and', 'pcs', 'from', 'poorvika', 'sta', '']","['', 'get', 'back', 'college', 'fully', 'prepared', 'style', 'hp', 'back', 'college', 'offers', 'hplaptops', 'pcs', 'poorvika', 'sta', '']","['', 'get', 'back', 'colleg', 'fulli', 'prepar', 'style', 'hp', 'back', 'colleg', 'offer', 'hplaptop', 'pc', 'poorvika', 'sta', '']"
34,The hybrid work model is defined by a group or team of employees that work from home while part of the employee bas… https://t.co/MVJ82HekJo,the hybrid work model is defined by a group or team of employees that work from home while part of the employee bas   ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,118,23,the hybrid work model is defined by a group or team of employees that work from home while part of the employee bas   ,"['the', 'hybrid', 'work', 'model', 'is', 'defined', 'by', 'a', 'group', 'or', 'team', 'of', 'employees', 'that', 'work', 'from', 'home', 'while', 'part', 'of', 'the', 'employee', 'bas', '']","['hybrid', 'work', 'model', 'defined', 'group', 'team', 'employees', 'work', 'home', 'part', 'employee', 'bas', '']","['hybrid', 'work', 'model', 'defin', 'group', 'team', 'employe', 'work', 'home', 'part', 'employe', 'ba', '']"
35,TYSM @3PlusInt Communication essentials for leading virtually – let’s replace managing remote employees with engagi… https://t.co/Z8LHEYad8L,tysm   communication essentials for leading virtually   let s replace managing remote employees with engagi   ,-0.1,0.2,neutral,0.0,1.0,0.0,0.0,110,14,tysm   communication essentials for leading virtually   let s replace managing remote employees with engagi   ,"['tysm', 'communication', 'essentials', 'for', 'leading', 'virtually', 'let', 's', 'replace', 'managing', 'remote', 'employees', 'with', 'engagi', '']","['tysm', 'communication', 'essentials', 'leading', 'virtually', 'let', 'replace', 'managing', 'remote', 'employees', 'engagi', '']","['tysm', 'commun', 'essenti', 'lead', 'virtual', 'let', 'replac', 'manag', 'remot', 'employe', 'engagi', '']"
36,"Stay at home and make really money without working for someone.. 
#bitcoin #bitcoins #bitmap #Forex #forextrade… https://t.co/M5tpJqERjl",stay at home and make really money without working for someone     bitcoin  bitcoins  bitmap  forex  forextrade   ,0.2,0.2,neutral,0.0,1.0,0.0,0.0,114,16,stay at home and make really money without working for someone     bitcoin  bitcoins  bitmap  forex  forextrade   ,"['stay', 'at', 'home', 'and', 'make', 'really', 'money', 'without', 'working', 'for', 'someone', 'bitcoin', 'bitcoins', 'bitmap', 'forex', 'forextrade', '']","['stay', 'home', 'make', 'really', 'money', 'without', 'working', 'someone', 'bitcoin', 'bitcoins', 'bitmap', 'forex', 'forextrade', '']","['stay', 'home', 'make', 'realli', 'money', 'without', 'work', 'someon', 'bitcoin', 'bitcoin', 'bitmap', 'forex', 'forextrad', '']"
37,"RT @Yeahilike: #ad Dear Friends, Earn Passive #income by #WorkFromHome CLICK LINK BELOW &gt;&gt;&gt;https://t.co/jIEMYc9vj6 #Kindle #KindleUnlimited…",  ad dear friends  earn passive  income by  workfromhome click link below  gt  gt  gt    kindle  kindleunlimited ,0.0,0.0,positive,0.0,0.42,0.58,0.8957,113,16,  ad dear friends  earn passive  income by  workfromhome click link below  gt  gt  gt    kindle  kindleunlimited ,"['', 'ad', 'dear', 'friends', 'earn', 'passive', 'income', 'by', 'workfromhome', 'click', 'link', 'below', 'gt', 'gt', 'gt', 'kindle', 'kindleunlimited', '']","['', 'ad', 'dear', 'friends', 'earn', 'passive', 'income', 'workfromhome', 'click', 'link', 'gt', 'gt', 'gt', 'kindle', 'kindleunlimited', '']","['', 'ad', 'dear', 'friend', 'earn', 'passiv', 'incom', 'workfromhom', 'click', 'link', 'gt', 'gt', 'gt', 'kindl', 'kindleunlimit', '']"
38,RT @Yeahilike: #ad Dear Learn How To earn passive #income and #WorkFromHome  by learning How to self publish books on #Amazon CLICK LINK BE…,  ad dear learn how to earn passive  income and  workfromhome  by learning how to self publish books on  amazon click link be ,0.0,0.0,positive,0.0,0.757,0.243,0.6249,126,22,  ad dear learn how to earn passive  income and  workfromhome  by learning how to self publish books on  amazon click link be ,"['', 'ad', 'dear', 'learn', 'how', 'to', 'earn', 'passive', 'income', 'and', 'workfromhome', 'by', 'learning', 'how', 'to', 'self', 'publish', 'books', 'on', 'amazon', 'click', 'link', 'be', '']","['', 'ad', 'dear', 'learn', 'earn', 'passive', 'income', 'workfromhome', 'learning', 'self', 'publish', 'books', 'amazon', 'click', 'link', '']","['', 'ad', 'dear', 'learn', 'earn', 'passiv', 'incom', 'workfromhom', 'learn', 'self', 'publish', 'book', 'amazon', 'click', 'link', '']"
39,"As more of us #WorkFromHome, connection to the team becomes more important. How does your team promote #connection… https://t.co/HTlnBAYyZq",as more of us  workfromhome  connection to the team becomes more important  how does your team promote  connection   ,0.4666666666666666,0.6666666666666666,positive,0.0,0.773,0.227,0.5709,117,18,as more of us  workfromhome  connection to the team becomes more important  how does your team promote  connection   ,"['as', 'more', 'of', 'us', 'workfromhome', 'connection', 'to', 'the', 'team', 'becomes', 'more', 'important', 'how', 'does', 'your', 'team', 'promote', 'connection', '']","['us', 'workfromhome', 'connection', 'team', 'becomes', 'important', 'team', 'promote', 'connection', '']","['us', 'workfromhom', 'connect', 'team', 'becom', 'import', 'team', 'promot', 'connect', '']"
